DoY	 NEE	 CH4	 H 	 LE	 Tair	 Tsoil 10cm	 Tsoil 100cm	 Water Table	 RH	 Prec	 Tsoil_water	 
-	 [g m-2 d-1]	 [g m-2 d-1]	 [Wm-2]	 [Wm-2]	 [C]	 [C]	 [C]	 [m]	 [%]	 [inches d-1]	 [C]	 
85	 -0.555	 0.041	 1.8	 17.8	 2.3	 0.7	 4.2	 0.910	 85.0	 0.000	 1.0	
86	 -0.443	 0.042	 21.3	 45.7	 4.3	 0.6	 4.2	 0.910	 75.8	 0.000	 1.0	
87	 -0.304	 0.043	 2.7	 35.2	 5.2	 0.6	 4.2	 0.890	 66.9	 0.000	 1.0	
88	 -0.414	 0.042	 9.4	 30.2	 3.8	 0.6	 4.2	 0.880	 69.7	 0.000	 1.0	
89	 -0.452	 0.046	 19.9	 50.5	 3.7	 0.6	 4.1	 0.870	 70.7	 0.000	 1.0	
90	 -0.196	 0.044	 16.1	 48.9	 4.6	 0.7	 4.1	 0.860	 69.0	 0.000	 1.0	
91	 -0.379	 0.042	 10.7	 33.9	 5.2	 1.2	 4.1	 0.860	 85.8	 0.020	 1.0	
92	 -0.415	 0.042	 13.2	 36.2	 6.1	 1.9	 4.1	 0.850	 82.0	 0.000	 1.0	
93	 0.854	 0.045	 8.8	 57.3	 7.8	 2.6	 4.1	 0.830	 68.5	 0.000	 1.0	
94	 -0.516	 0.048	 0.7	 54.4	 7.6	 3.1	 4.0	 0.810	 48.5	 0.000	 1.0	
95	 0.488	 0.043	 30.0	 68.7	 3.2	 3.4	 4.0	 0.800	 62.1	 0.000	 1.0	
96	 0.641	 0.045	 30.9	 68.3	 3.0	 3.5	 4.0	 0.780	 55.1	 0.000	 1.0	
97	 -0.430	 0.047	 21.6	 56.2	 5.4	 3.7	 4.0	 0.760	 51.4	 0.000	 1.0	
98	 -0.397	 0.046	 17.6	 45.0	 10.9	 3.8	 4.0	 0.750	 54.9	 0.000	 1.0	
99	 0.035	 0.045	 -5.3	 46.2	 10.4	 4.3	 4.0	 0.740	 65.4	 0.000	 1.0	
100	 0.426	 0.053	 40.2	 65.4	 2.2	 4.7	 4.0	 0.730	 62.8	 0.000	 1.0	
101	 0.042	 0.050	 29.5	 71.4	 2.1	 4.7	 4.0	 0.710	 58.7	 0.000	 1.0	
102	 -0.601	 0.050	 23.4	 62.9	 6.8	 4.8	 4.0	 0.700	 64.9	 0.000	 1.0	
103	 -0.160	 0.051	 24.2	 72.7	 9.9	 5.2	 4.0	 0.690	 65.8	 0.000	 1.0	
104	 -0.348	 0.051	 23.3	 60.9	 11.5	 5.7	 4.0	 0.680	 74.2	 0.000	 1.0	
105	 -1.063	 0.051	 12.5	 69.0	 13.5	 6.3	 4.0	 0.670	 67.6	 0.000	 1.0	
106	 -0.255	 0.058	 16.9	 79.6	 8.8	 6.9	 4.0	 0.660	 62.9	 0.030	 1.0	
107	 0.059	 0.052	 40.2	 68.0	 4.4	 7.0	 4.0	 0.650	 65.2	 0.000	 1.0	
108	 -0.555	 0.049	 -1.8	 23.4	 2.8	 6.9	 4.1	 0.790	 94.2	 1.110	 1.0	
109	 -0.937	 0.054	 13.7	 48.8	 5.7	 6.4	 4.1	 0.790	 71.2	 0.000	 1.0	
110	 -0.162	 0.049	 -0.1	 24.0	 3.7	 6.3	 4.1	 0.830	 95.6	 0.370	 1.0	
111	 0.294	 0.051	 29.6	 80.2	 7.6	 6.1	 4.2	 0.830	 69.1	 0.000	 1.0	
112	 0.005	 0.054	 15.6	 90.4	 9.4	 6.5	 4.2	 0.810	 68.6	 0.040	 1.0	
113	 -0.132	 0.051	 3.4	 25.3	 0.2	 6.9	 4.3	 0.810	 85.9	 0.090	 1.0	
114	 -0.447	 0.053	 7.6	 34.9	 3.6	 6.6	 4.3	 0.810	 77.4	 0.030	 1.0	
115	 -0.433	 0.049	 16.2	 27.9	 2.0	 6.3	 4.4	 0.810	 94.3	 0.020	 1.0	
116	 -0.095	 0.048	 -2.7	 24.5	 -3.1	 5.9	 4.4	 0.820	 90.3	 0.200	 1.0	
117	 0.368	 0.045	 21.5	 25.1	 -3.9	 5.2	 4.4	 0.820	 77.4	 0.000	 1.0	
118	 -0.507	 0.051	 32.4	 66.4	 2.0	 4.6	 4.5	 0.830	 65.7	 0.000	 1.0	
119	 -0.423	 0.051	 31.0	 81.4	 5.3	 4.6	 4.5	 0.830	 54.1	 0.000	 1.0	
120	 -1.752	 0.053	 22.2	 74.0	 6.9	 5.1	 4.6	 0.810	 43.6	 0.000	 1.0	
121	 0.042	 0.050	 -9.8	 26.0	 3.3	 5.7	 4.6	 0.830	 78.8	 0.310	 1.0	
122	 -0.806	 0.052	 20.8	 87.2	 8.7	 5.6	 4.6	 0.850	 50.2	 0.000	 1.0	
123	 -0.051	 0.054	 18.3	 53.5	 9.1	 6.0	 4.7	 0.830	 70.8	 0.000	 1.0	
124	 -0.733	 0.050	 19.7	 70.0	 10.4	 6.5	 4.7	 0.820	 71.1	 0.000	 1.0	
125	 -0.365	 0.057	 11.0	 95.9	 12.7	 7.2	 4.7	 0.800	 59.0	 0.000	 1.0	
126	 -0.252	 0.060	 33.2	 91.7	 9.9	 7.7	 4.8	 0.790	 65.6	 0.000	 1.0	
127	 -1.277	 0.066	 37.8	 92.1	 9.7	 8.2	 4.8	 0.760	 43.4	 0.000	 1.0	
128	 -2.160	 0.070	 35.1	 80.1	 11.2	 8.6	 4.8	 0.740	 29.9	 0.000	 1.0	
129	 -1.838	 0.068	 37.7	 88.0	 12.1	 9.0	 4.8	 0.710	 45.8	 0.000	 NaN	
130	 -1.949	 0.066	 30.2	 70.0	 11.3	 9.5	 4.9	 0.690	 61.2	 0.000	 NaN	
131	 -2.599	 0.066	 38.7	 93.0	 8.1	 9.6	 4.9	 0.670	 64.0	 0.000	 NaN	
132	 -2.602	 0.069	 37.0	 94.3	 11.6	 9.6	 4.9	 0.650	 57.4	 0.000	 NaN	
133	 -2.760	 0.071	 34.7	 88.6	 11.9	 9.9	 5.0	 0.630	 49.6	 0.000	 NaN	
134	 -2.888	 0.072	 29.1	 74.0	 13.0	 10.1	 5.0	 0.610	 50.9	 0.020	 NaN	
135	 -2.622	 0.071	 28.1	 75.3	 15.1	 10.3	 5.1	 0.590	 61.6	 0.000	 NaN	
136	 -1.144	 0.062	 1.4	 40.5	 12.6	 10.7	 5.1	 0.620	 98.0	 0.260	 1.5	
137	 -1.666	 0.065	 -1.0	 32.1	 11.6	 10.8	 5.2	 0.630	 95.1	 0.030	 1.5	
138	 -3.549	 0.070	 34.3	 88.0	 8.9	 10.7	 5.2	 0.620	 64.4	 0.000	 NaN	
139	 -3.366	 0.070	 27.9	 80.4	 8.3	 10.5	 5.3	 0.590	 54.7	 0.000	 1.3	
140	 -2.052	 0.066	 -3.5	 35.6	 6.0	 10.3	 5.4	 0.620	 63.6	 0.280	 1.1	
141	 -1.569	 0.057	 1.8	 34.8	 6.0	 9.8	 5.4	 0.630	 98.2	 0.040	 1.0	
142	 -2.369	 0.062	 16.6	 48.5	 8.2	 9.4	 5.5	 0.630	 91.5	 0.040	 1.0	
143	 -2.300	 0.056	 17.5	 49.0	 9.2	 9.5	 5.6	 0.630	 89.0	 0.010	 1.0	
144	 -2.776	 0.065	 24.2	 67.4	 10.3	 9.5	 5.6	 0.620	 72.7	 0.000	 1.0	
